shift_years,is_observed_timing,cell,index_definition,lag_months,weighting,estimate,naive_standard_error,naive_t,observations
32,False,oni:lag12:uniform,oni,12,uniform,-0.00224416344188464,0.001880221553247948,-1.1935633000313226,18013
33,False,roni:lag0:exposure,roni,0,exposure,0.07327291090514543,0.03404804908362272,2.152044327861066,17992
33,False,roni:lag0:uniform,roni,0,uniform,-0.002057487225510976,0.0018440949432345065,-1.1157165378384388,17992
33,False,roni:lag3:exposure,roni,3,exposure,0.03421656659353648,0.03406695672022829,1.004391641863899,18013
33,False,roni:lag3:uniform,roni,3,uniform,-0.002001956071591236,0.001844847458158057,-1.0851607609823959,18013
33,False,roni:lag6:exposure,roni,6,exposure,-0.0017359870164232272,0.03415657207607046,-0.05082439222990505,18013
33,False,roni:lag6:uniform,roni,6,uniform,-0.000269751204211291,0.0018495726297169351,-0.1458451535653264,18013
33,False,roni:lag9:exposure,roni,9,exposure,-0.0215031247339753,0.03412176233264915,-0.6301879874885652,18013
33,False,roni:lag9:uniform,roni,9,uniform,0.0019261141966858812,0.0018473034867362097,1.0426625676373908,18013
33,False,roni:lag12:exposure,roni,12,exposure,0.0015432750856194243,0.03399456021658238,0.04539770703862856,18013
33,False,roni:lag12:uniform,roni,12,uniform,0.002529139550904894,0.0018401471096830347,1.3744224782879115,18013
33,False,oni:lag0:exposure,oni,0,exposure,0.07300029894463,0.03470764537508834,2.1032915991767767,17992
33,False,oni:lag0:uniform,oni,0,uniform,-0.0022177430993476676,0.001880804093149244,-1.1791462531508257,17992
33,False,oni:lag3:exposure,oni,3,exposure,0.03521400870118588,0.03471780135574855,1.0142925912949603,18013
33,False,oni:lag3:uniform,oni,3,uniform,-0.001257771544778911,0.0018810099187387662,-0.6686682150098697,18013
33,False,oni:lag6:exposure,oni,6,exposure,0.0005983488746251887,0.03476205233570111,0.017212702772749586,18013
33,False,oni:lag6:uniform,oni,6,uniform,0.0004595566002223563,0.001883216241504292,0.24402752593895835,18013
33,False,oni:lag9:exposure,oni,9,exposure,-0.02475653645483178,0.03469258410889912,-0.7135973606670998,18013
33,False,oni:lag9:uniform,oni,9,uniform,0.0024531091390571223,0.001879143425226938,1.3054400777103368,18013
33,False,oni:lag12:exposure,oni,12,exposure,-0.010775271361140929,0.03459924000414824,-0.31143086841933637,18013
33,False,oni:lag12:uniform,oni,12,uniform,0.0031745477804884102,0.0018739391095182103,1.6940506574434995,18013
34,False,roni:lag0:exposure,roni,0,exposure,0.0010751189047673525,0.03400608187180178,0.031615488924022536,17992
34,False,roni:lag0:uniform,roni,0,uniform,0.002565089423019343,0.0018407767309338771,1.393482099112586,17992
34,False,roni:lag3:exposure,roni,3,exposure,-0.001881663324089886,0.03399489946488292,-0.05535134251635789,18013
34,False,roni:lag3:uniform,roni,3,uniform,0.0030450892893789847,0.0018401143575656432,1.6548369816577315,18013
34,False,roni:lag6:exposure,roni,6,exposure,-0.023728191711629085,0.0342872278691444,-0.6920417072557343,18013
34,False,roni:lag6:uniform,roni,6,uniform,0.001673566134494345,0.001856047619074522,0.9016827571098809,18013
34,False,roni:lag9:exposure,roni,9,exposure,-0.046028515010173646,0.03471421386047757,-1.3259270451916385,18013
34,False,roni:lag9:uniform,roni,9,uniform,0.0003273645437152551,0.0018795889235020211,0.17416815965552432,18013
34,False,roni:lag12:exposure,roni,12,exposure,-0.03433940874086789,0.03489154614936227,-0.9841756107301519,18013
34,False,roni:lag12:uniform,roni,12,uniform,-0.0008169940471528013,0.0018893605271984753,-0.4324182893585862,18013
34,False,oni:lag0:exposure,oni,0,exposure,-0.010867138322190328,0.03460868552807044,-0.31400031975719506,17992
34,False,oni:lag0:uniform,oni,0,uniform,0.0031811858420552237,0.001874450690665275,1.697129648647181,17992
34,False,oni:lag3:exposure,oni,3,exposure,-0.015201985580329964,0.03458994524351934,-0.43949146127018396,18013
34,False,oni:lag3:uniform,oni,3,uniform,0.0029025968186393142,0.001873483917922691,1.549304368653294,18013
34,False,oni:lag6:exposure,oni,6,exposure,-0.03325819240330919,0.03475254620007512,-0.9570001637243288,18013
34,False,oni:lag6:uniform,oni,6,uniform,0.0010391700843551416,0.0018823551970813587,0.5520584456995163,18013
34,False,oni:lag9:exposure,oni,9,exposure,-0.05381090346312992,0.03497825464982746,-1.5384101923277453,18013
34,False,oni:lag9:uniform,oni,9,uniform,-6.511219256073176e-05,0.001894770783712493,-0.034364152709361016,18013
34,False,oni:lag12:exposure,oni,12,exposure,-0.0454112967741382,0.03506037856973383,-1.2952312161666129,18013
34,False,oni:lag12:uniform,oni,12,uniform,-0.0009489219529146505,0.0018992536028540616,-0.4996288813082565,18013
35,False,roni:lag0:exposure,roni,0,exposure,-0.03593156589798563,0.034924833632370575,-1.0288256853622333,17992
35,False,roni:lag0:uniform,roni,0,uniform,-0.0007033849496626138,0.0018912033468154485,-0.3719245478531046,17992
35,False,roni:lag3:exposure,roni,3,exposure,0.029069057222882076,0.03495950644225612,0.8315065108512469,18013
35,False,roni:lag3:uniform,roni,3,uniform,0.0005935806710475347,0.001893082024879345,0.31355253668174593,18013
35,False,roni:lag6:exposure,roni,6,exposure,0.05850684743490737,0.03496427315121975,1.6733322949934202,18013
35,False,roni:lag6:uniform,roni,6,uniform,0.0008238363848156771,0.0018933243945732608,0.43512690544578486,18013
35,False,roni:lag9:exposure,roni,9,exposure,0.0908682053656556,0.03493137182407718,2.601335150056225,18013
35,False,roni:lag9:uniform,roni,9,uniform,3.76865147738888e-05,0.001891616432690559,0.019922915725724067,18013
35,False,roni:lag12:exposure,roni,12,exposure,0.07093583935578034,0.034905747811749474,2.032210847862223,18013
35,False,roni:lag12:uniform,roni,12,uniform,-5.635426065063019e-05,0.001890100349147698,-0.02981548608043059,18013
35,False,oni:lag0:exposure,oni,0,exposure,-0.04670867642529699,0.03508528434851774,-1.331289664388036,17992
35,False,oni:lag0:uniform,oni,0,uniform,-0.0008573454490944512,0.0019006209501951571,-0.45108702448345545,17992
35,False,oni:lag3:exposure,oni,3,exposure,0.027228928177682587,0.035110747477661006,0.7755154798400924,18013
35,False,oni:lag3:uniform,oni,3,uniform,0.0006481008245617554,0.001901941541576477,0.34075748933090716,18013
35,False,oni:lag6:exposure,oni,6,exposure,0.054271268939243736,0.0351137951614109,1.5455825463972168,18013
35,False,oni:lag6:uniform,oni,6,uniform,0.0005848087712843037,0.0019020351706765118,0.3074647515988362,18013
35,False,oni:lag9:exposure,oni,9,exposure,0.08844508042006646,0.03506978981949223,2.5219734955727504,18013
35,False,oni:lag9:uniform,oni,9,uniform,-0.0005792595140233972,0.0018996144348732763,-0.304935308654906,18013
35,False,oni:lag12:exposure,oni,12,exposure,0.05714367619642004,0.035044262293605605,1.630614327608398,18013
35,False,oni:lag12:uniform,oni,12,uniform,-0.000441285505796905,0.0018979774838352702,-0.23250302469615872,18013
36,False,roni:lag0:exposure,roni,0,exposure,0.07032630486553747,0.034919247611051016,2.013969649314009,17992
